Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Syzygium cuminii,Fibrous,moderate,Small tree,"Glossy, lance-shaped leaves",Produces seeds in fruit,Moderate drought,Fruit attracts seed dispersers,Jamun,0,1,1,0,1,0
Annona squamosa,Fibrous,shallow,"Shrub-like, erect, up to 8m","Broad, glossy, alternate, 5-17cm long",Produces many seeds in heart-shaped fruit; flowers solitary or in clusters,Moderate drought; subtropical climates,Fruit pulp stores nutrients; chemical defenses against pests,Sugar Apple ,0,1,1,1,1,0
Aporosa lindleyana,Fibrous,moderate,"Small tree/shrub, up to 10m","Oval, medium-sized, simple, alternate",Produces small seeds in capsules; dioecious,Shade-tolerant; prefers humid forests,Adapts to understory conditions; latex production for defense,Lindley's aporosa,0,0,0,0,0,0
Baccaurea courtallensis,Fibrous,deep,"Small tree, up to 15m","Broad, leathery, simple, alternate",Produces small seeds in berries; dioecious,Moderate drought; tropical wet forests,Fruit protects seeds from desiccation; high biodiversity adaptation,Mooty Fruit,0,1,0,0,0,0
Carissa carandas,Taproot,shallow,"Shrub-like, thorny, up to 5m","Small, thick, opposite, 2-7cm long",Produces berries with multiple seeds; flowers in cymes,Drought-tolerant; arid and semi-arid regions,Thorns deter herbivores; edible fruit attracts dispersers,Karonda,0,1,1,1,1,0
Citrus grandis,Fibrous,extensive,"Small tree, up to 15m","Large, glossy, unifoliolate, evergreen",Produces many seeds in large pomelo fruit; hermaphroditic flowers,Heat-tolerant; subtropical; sensitive to frost,Thick rind protects fruit; high vitamin C content for nutrition,Pomelo ,0,1,1,1,1,0
Citrus limon,Fibrous,shallow,"Shrub-like, erect, up to 6m","Oval, aromatic, evergreen, 4-8cm long","Produces seeds in fruit; hermaphroditic, self-fertile",Moderate drought; wide pH tolerance; frost-sensitive,Acidic fruit repels pests; essential oils for antimicrobial properties,Lemon,0,1,1,1,1,0
Citrus medica,Fibrous,shallow,"Small tree, up to 5m","Thick, glossy, evergreen, oblong",Produces seeds in citron fruit; hermaphroditic,Moderate drought; prefers well-drained soils,Thick rind for long storage; used in traditional medicine,Citron,0,1,1,1,1,0
Flacourtia inermis,Fibrous,moderate,"Shrub-like, thorny, up to 6m","Small, oval, simple, alternate",Produces small seeds in plum-like fruit; dioecious,Drought-tolerant; tropical climates,Thorns provide defense; rapid growth for erosion control,Batoko Plum,0,1,1,0,0,0
Pouteria campechiana,Taproot,deep,"Small tree, up to 20m","Large, glossy, simple, alternate",Produces seeds in egg-shaped fruit; hermaphroditic,Moderate drought; tropical lowlands,Fruit stores energy; latex used medicinally,Canistel,0,1,0,1,1,0
Psidium guajava,Fibrous,shallow,"Shrub-like, spreading, up to 10m","Oval, aromatic, opposite, 5-15cm long",Produces many seeds in guava fruit; flowers solitary,Heat-tolerant; wide soil tolerance,Fruit pulp resists rot; high antioxidant content,Guava,0,1,1,1,1,0
Spondias pinnata,Taproot,deep,"Small tree, up to 20m","Compound, broad, pinnate, 15-30cm long",Produces seeds in hog plum fruit; polygamo-dioecious,Drought-tolerant; seasonal deciduous,Deep roots access water; acidic fruit for preservation,Indian Hog Plum ,0,1,1,1,0,1
Syzygium cumini,Fibrous,moderate,"Small to medium tree, up to 30m","Glossy, lance-shaped, opposite, 5-15cm long",Produces seeds in java plum fruit; hermaphroditic,Moderate drought; flood-tolerant,Fruit attracts seed dispersers; bark used medicinally,Jamun,0,1,1,0,1,0
Cymbopogon nardus,Fibrous,stout rootstock,"Clump-forming perennial grass, erect up to 2.5m","Long, narrow, sharp, aromatic, linear",Produces seeds; perennial via rhizomes,"Tropical climate, moderate drought; prefers sandy soils",Essential oil with insect-repelling properties (citronella),Citronella Grass,0,0,1,1,0,1
Eucalyptus citriodora,Lignotuber,woody,"Tall tree, 25-50m, smooth bark peeling","Narrow lance-shaped, glossy green, lemon-scented, 10-20cm long",Flowers white in umbels; woody fruit capsules with seeds,"Drought-tolerant, frost-tolerant, wide temperature range (-5¡C to 40¡C)",Lemon-scented essential oil for repellents; fire-adapted bark,Lemon-scented Eucalyptus,0,0,1,1,1,1
Cymbopogon flexuosus,Rhizomatous,Rhizomatous,"Clump-forming perennial grass, erect up to 3m","Long, narrow, lemon-scented, linear, 60-100cm long",Produces flowers and seeds; propagated by division,"Prefers warm, humid; sensitive to water stress and frost",Essential oil for culinary and medicinal use (lemongrass oil),East-Indian Lemongrass,0,0,1,1,0,1
Cymbopogon martinii,Rhizomatous,woody,"Tufted perennial grass, erect culms up to 3m","Long, narrow, aromatic, linear",Flowers after 3 months; multiple seed harvests; self-fertile,"Drought-tolerant, heat-tolerant; poor soils","Palmarosa oil with rose scent, antifungal, insect repellent",Palmarosa,0,0,1,1,0,1
Santalum album,Parasitic,haustoria,"Small evergreen tree, 4-9m, upright to sprawling","Thin, opposite, ovate-lanceolate, shiny green, 3-8cm long",Flowers after 7 years; small purple flowers; fruit bird-dispersed,"Dry forests, 0-38¡C, 500-3000mm rain; semi-parasitic",Fragrant heartwood oil (sandalwood); parasitic on host roots for nutrients,Indian Sandalwood,0,0,1,1,1,0
Chrysopogon zizanioides,Fibrous,deep,"Perennial bunchgrass, erect up to 3m","Long, thin, rigid, up to 300cm, narrow","Vegetative offsets, often sterile; brownish-purple flower spikes","Drought, flooding, salinity, wide pH (4-8), frost, fire tolerant",Soil binding for erosion control; termite repellent (vetiver oil),Vetiver ,0,0,1,1,0,1
Cananga odorata,Shallow,fibrous,"Fast-growing tree up to 12m, drooping branches","Pinnate, glossy, oval pointed, 13-21cm long, 4-7 leaflets",Fragrant drooping green-yellow flowers; fruit bird-dispersed,"Prefers acidic soils (pH 5.5-7), full sun; sensitive to cold (<10¡C)",Highly fragrant ylang-ylang oil for perfume; attracts pollinators,Ylang-Ylang,0,0,1,1,1,0
Salvia hispanica,Fibrous,Fibrous,"Annual herb, erect up to 1.75m, square stems","Opposite, ovate to triangular, 4-8cm long, 3-5cm wide, toothed, aromatic",Purple/white flowers in whorls/spikes; short-day plant; mucilaginous seeds,Moderate drought; well-drained soils; USDA zones 9-12; frost-sensitive,Mucilaginous seed coating for water retention; omega-3 rich seeds; insect-repellent oils,Chia,0,0,1,1,1,0
Amaranthus caudatus,Taproot,Taproot,"Herbaceous annual, erect up to 2.5m, branched","Broad, simple, alternate, ovate to lanceolate, 5-15cm long",Long pendulous panicles up to 90cm; self-pollinating; thousands of small seeds per plant,Drought-tolerant; full sun; altitudes up to 3100m; pH 6-7; heat-tolerant,C4 photosynthesis for efficient water use; short-day; high altitude adaptation; edible leaves/seeds,Love-lies-bleeding ,1,0,1,1,1,1
Amaranthus hypochondriacus,Taproot,Taproot,"Vigorous upright annual, 40-200cm tall, sturdy stems","Simple, alternate, rhombic-ovate to lanceolate, 4-12cm long, 2-7cm wide, wavy margins",Dense catkin-like inflorescences; purplish-red/yellow-green flowers; dry fruits with 100s of seeds,Well-drained soils; full sun; USDA zones 3-10; moderate drought,Susceptible to aphids; adaptable to temperate regions; high protein seeds; ornamental tassels,Indian Spinach ,1,0,1,1,1,1
Chenopodium quinoa,Taproot,Taproot,"Annual, 1-2m tall, woody central stem, branched","Broad, powdery (farina), hairy, lobed, alternate, triangular, 4-10cm long",Panicles with small green/white flowers; mostly self-fertilizing; 2mm dark seeds,Saline/nutrient-poor soils; drought; -4¡C to 35¡C; high elevations to 4000m; alkaline tolerant,Bitter saponins deter herbivores/birds; betalains for UV protection; osmotic adjustment for salinity/drought,Quinoa,1,0,1,1,1,1
Cocos nucifera,Fibrous,shallow to deep,"Tall tree, up to 50m, cylindrical trunk with smooth gray bark","Pinnate, feather-shaped, up to 6m long, glossy green, 200-300 leaflets",Monoecious; axillary inflorescences with male/female flowers; drupes with seeds (nuts),Drought-tolerant; salt-tolerant; flood-tolerant; 24-32¡C; coastal,Thick fibrous husk protects seeds; endosperm stores water/nutrients; copra oil for multiple uses,Coconut,0,1,1,1,1,0
Hevea brasiliensis,Taproot,deep,"Tall deciduous tree, up to 43m, cylindrical trunk, buttresses","Spiral compound with 3 leaflets, oval-lanceolate, shiny green, 10-20cm long",Dioecious in practice; flowers after 7 years in panicles; 3-lobed capsules with seeds,Moderate drought; frost-sensitive (<10¡C); wide pH (4.5-8); humid tropics,Latex production as defense against herbivores; rapid growth (up to 2m/year); wind-dispersed seeds,Rubber Tree,0,0,0,1,0,0
Oryza sativa,Fibrous,shallow,"Annual herbaceous, erect up to 1.75m, hollow jointed culms","Linear-lanceolate, alternate, sheathing, 20-100cm long, 5-20mm wide",Spikelets in panicles; short-day; self-pollinating; caryopses (grains),Moderate drought (upland varieties); cold-sensitive; flooded paddies; 20-35¡C,C3 photosynthesis; aerenchyma for anaerobic conditions; semi-aquatic adaptations; high tillering,Rice    ,0,0,0,1,0,0
Areca catechu,Fibrous,shallow,"Slender unbranched palm tree, up to 20m, ringed trunk","Pinnate, 1.5-2m long, reduplicate, numerous crowded leaflets",Monoecious; branched inflorescences with male/female flowers; orange-red drupes,Moderate drought; humid tropics (25-30¡C); 1500-2500mm rain; shade-tolerant,Fruit alkaloids (arecoline) for stimulation; rapid growth; used in cultural practices,Areca Nut ,0,0,1,1,1,0
Coffea arabica,Fibrous,moderate depth,"Shrub-like evergreen tree, up to 9m (pruned to 2-3m), upright","Opposite, ovate, glossy dark green, waxy, 10-15cm long","Hermaphroditic white fragrant flowers; red cherries with 2 seeds; self-fertile, cross-pollinated",Heat-tolerant (15-24¡C optimal); moderate drought; frost-sensitive; high altitudes (600-2000m),Caffeine as chemical defense; shade-tolerant; berries protect seeds,Coffee,0,0,1,1,0,0
Piper nigrum,Fibrous,moderate depth,"Climbing evergreen vine, up to 6m, woody at base","Heart-shaped to oval, glossy, alternate, 5-10cm long, aromatic",Spikes of small flowers; drupes ripen to black pepper; dioecious but often hermaphroditic,Moderate drought; heat-tolerant (25-30¡C); frost-sensitive; humid shade,Piperine chemical defenses; symbiotic mycorrhizae for nutrient uptake; climbing habit for support,Black Pepper,0,0,1,1,0,0
Mangifera indica,Taproot,deep,"Large evergreen tree, up to 30m, low broad canopy","Simple, lanceolate, leathery, aromatic, alternate, 15-35cm long",Panicles of small flowers; drupes with single large seed; insect-pollinated,Heat-tolerant; moderate drought; flood-sensitive; 24-30¡C; subtropical/tropical,Resinous bark/latex defense; deep roots for groundwater; fruit ethylene for ripening,Mango,0,1,1,1,1,0
Artocarpus heterophyllus,Taproot,deep,"Evergreen tree, 10-20m, straight trunk, dense crown","Large simple alternate, oblong-elliptic, glossy, 5-25cm long",Monoecious; multiple female flowers fuse into syncarp (jackfruit); wind/insect pollinated,Drought-tolerant once established; heat-tolerant; moderate flood; 25-35¡C,Milky latex in tissues for defense; composite fruit structure; edible seeds/fruit,Jackfruit,0,1,0,1,1,0
Manihot esculenta,Taproot,storage,"Woody shrub/herbaceous perennial, up to 4m, branched","Alternate, palmately lobed (3-7 lobes), spirally arranged, 5-20cm long",Monoecious; flowers in panicles (male/female separate); explosive capsules with seeds,Drought-tolerant; heat-tolerant (25-30¡C); sensitive to waterlogging/frost,Cyanogenic glycosides deter herbivores; tubers store carbohydrates; vegetative propagation,Cassava ,1,0,0,1,0,1
Musa spp.,Fibrous,shallow,"Giant herbaceous perennial, pseudostem up to 9m, clumping","Large oblong, spiral, up to 3m long x 50cm wide, waxy",Monoecious; large inflorescence with male/female flowers; parthenocarpic fruit (bananas),Moderate drought; cold-sensitive (<15¡C); prefers humid tropics; wind damage prone,Rapid vegetative propagation via suckers; aerenchyma for flood tolerance; sterile hybrids common,Banana,0,1,1,1,1,0
Solanum tuberosum,Rhizomatous,tubers,"Herbaceous perennial grown as annual, erect/stemmy up to 1m","Compound, odd-pinnate, 15-30cm long, 5-9 leaflets",Flowers white/purple in racemes; tubers for asexual reproduction; true seeds rare,Moderate drought; frost-sensitive; cool climates (15-20¡C); various day lengths,Tubers store energy/starch; glycoalkaloids (solanine) as defense; indeterminate growth,Potato,1,0,0,1,0,1
Ipomoea batatas,Fibrous,shallow,"Trailing herbaceous vine, up to 5m long, twining","Heart-shaped to lobed, alternate, 5-15cm long, spirally arranged",Funnel-shaped flowers in clusters; capsules with seeds; often propagated vegetatively,Drought-tolerant; heat-tolerant; sandy well-drained soils; 20-30¡C,Storage roots (tubers) for survival; beta-carotene rich; vine covers ground to suppress weeds,Sweet Potato,1,0,0,1,0,1
Elettaria cardamomum,Rhizomatous,Rhizomatous,"Clumping herbaceous perennial, up to 4m, leafy stems","Linear-lanceolate, bright green, sheathing, 30-60cm long",Hermaphroditic flowers on spikes from ground; capsules with seeds; cross-pollinated,Shade-tolerant; high humidity; frost-sensitive; 20-35¡C; 1500-4000mm rain,Aromatic pods for spice; underground rhizomes for propagation; prefers forest understory,Green Cardamom,0,0,1,1,0,0
Cinnamomum verum,Fibrous,shallow,"Small evergreen tree, up to 8m, single stem","Opposite, oblong-lanceolate, glossy green, 5-15cm long, aromatic",Small yellowish flowers in panicles; berry-like drupes with single seed,Moderate drought; tropical; sensitive to frost; well-drained soils,Bark quills for cinnamon; essential oils (cinnamaldehyde) antimicrobial; coppicing ability,Cinnamon,0,0,1,1,0,0
Myristica fragrans,Taproot,deep,"Evergreen tree, up to 20m, pyramidal crown","Simple, alternate, oblong, dark green, leathery, 5-12cm long",Dioecious; bell-shaped flowers; orange aril-covered seeds (nutmeg/mace),Tropical rainforest; moderate drought; shade-tolerant; 20-30¡C,Aril (mace) attracts birds for dispersal; toxic compounds deter herbivores,Nutmeg,0,0,1,1,0,0
Tamarindus indica,Taproot,extensive,"Large evergreen tree, up to 25m, umbrella-shaped","Pinnate compound, 10-20cm long, 10-20 pairs of leaflets",Racemes of yellow/red flowers; pods with 1-12 seeds; insect-pollinated,Drought-tolerant; heat-tolerant; poor soils; flood-tolerant roots,Pods with acidic pulp for long storage; nitrogen-fixing associations; multipurpose (food/fodder),Tamarind,0,1,1,1,1,0
Syzygium aromaticum,Fibrous,shallow,"Small to medium evergreen tree, up to 12m, conical","Opposite, elliptic, glossy, 5-17cm long, aromatic",Hermaphroditic flowers in panicles; hypanthium develops into clove (flower bud),Tropical high rainfall; frost-sensitive; well-drained volcanic soils,Eugenol in buds/oils for preservation; attracts pollinators; wind-resistant,Clove,0,0,1,1,0,0
Zingiber officinale,Rhizomatous,Rhizomatous,"Herbaceous perennial, up to 1m, reed-like stems","Lanceolate, alternate, sheathing, 15-30cm long, green",Flowers in spikes on separate shoots; seeds rare; propagated by rhizomes,Tropical; shade-tolerant; frost-sensitive; 20-30¡C; high humidity,Rhizomes store gingerols (medicinal); underground growth for protection; sterile cultivar,Ginger,0,0,1,1,0,0
Curcuma longa,Rhizomatous,Rhizomatous,"Herbaceous perennial, up to 1m, leafy shoots","Oblong-lanceolate, cauline, 20-50cm long, green with purple veins",Cone-like spikes of flowers; aroids with seeds; mainly vegetative propagation,Tropical; shade partial; drought-moderate; 20-35¡C; acidic soils,Rhizomes with curcumin (anti-inflammatory); underground storage; ornamental flowers,Turmeric,0,0,1,1,0,0
Allium sativum,Bulbous,modified stem,"Herbaceous perennial, up to 60cm, hollow leaves","Linear, flat, hollow, blue-green, 30-60cm long",Flowers in umbels (often replaced by bulbils); cloves for asexual reproduction,Cold-tolerant; drought-tolerant; well-drained; 15-25¡C; alkaline soils,Bulbs/cloves with allicin (antimicrobial); overwinters as bulbs; pest-repellent,Garlic,0,0,1,1,0,0
Anacardium occidentale,Taproot,shallow,"Small evergreen tree, up to 12m, low-branching","Obovate, leathery, spirally alternate, 5-12cm long, glossy",Dioecious; panicles of flowers; pseudodrupes with seed (cashew nut),Drought-tolerant; heat-tolerant; poor sandy soils; 25-30¡C,Caustic resin in shell for defense; nut storage; coppices well,Cashew,0,1,1,1,1,0
Carica papaya,Shallow,fibrous,"Herbaceous tree-like, up to 10m, single trunk","Large palmate, alternate, 30-75cm wide, 5-9 lobes",Monoecious/dioecious; flowers solitary/clusters; pepo fruit with many seeds,Heat-tolerant; moderate drought; frost-sensitive; 21-33¡C,Papain enzyme in latex; rapid growth (9 months to fruit); hollow stem for lightweight,Papaya,0,1,1,1,1,0
Ananas comosus,Fibrous,shallow,"Terrestrial bromeliad, rosette up to 1.5m, short stem","Tough, waxy, spirally arranged, sword-shaped, 30-100cm long",Hermaphroditic flowers in head; develops into multiple fruit (pineapple); self-incompatible,Drought-tolerant; acidic soils; heat-tolerant; CAM photosynthesis,Bromelain enzyme; spiny leaves deter herbivores; propagates via crown/suckers,Pineapple,0,1,1,1,1,0
Moringa oleifera,Taproot,deep,"Slender deciduous tree, up to 12m, feathery crown","Tripinnate compound, 30-60cm long, small leaflets",Panicles of white flowers; 3-valved pods with winged seeds; self-fertile,Drought-tolerant; heat-tolerant; poor soils; 25-35¡C; nitrogen-fixer,All parts edible/medicinal; rapid growth; pod seeds for water purification,Moringa,1,0,1,1,0,1
Abelmoschus esculentus,Taproot,fibrous,"Annual herbaceous, erect up to 2m, stellate hairs","Alternate, palmately lobed, 10-20cm wide, serrate",Yellow flowers with red center; capsules (pods) with many seeds,Heat-tolerant; moderate drought; well-drained; 25-35¡C,Mucilaginous pods for texture; fiber in stems; attracts pollinators,Lady Finger,1,1,1,1,0,1
Solanum melongena,Fibrous,shallow,"Herbaceous perennial grown as annual, bushy up to 1m","Simple, alternate, ovate, 5-20cm long, undulate margins",Purple flowers in clusters; berries (eggplants) with many seeds,Heat-tolerant; moderate drought; frost-sensitive; 20-30¡C,Solasodine alkaloids defense; nightshade family; grafted for disease resistance,Brinjal ,1,1,1,1,0,0
Capsicum annuum,Fibrous,shallow,"Herbaceous perennial/annual, upright bush 30-100cm","Ovate to lanceolate, simple, alternate, 4-10cm long",White flowers; berries (peppers/chillies) with many seeds; self-pollinating,Heat-tolerant; drought-moderate; frost-sensitive; wide pH,Capsaicin deters mammals/birds; varied fruit shapes/colors; day-neutral,Bell Pepper ,1,1,1,1,0,0
Lagenaria siceraria,Fibrous,extensive,"Annual climbing vine, up to 10m, tendrils","Broad, heart-shaped, alternate, 5-lobed, 10-20cm wide",White flowers monoecious; pepo fruits (gourds) with many seeds,Heat-tolerant; drought-tolerant; climbing habit; 25-35¡C,Hard rind for storage/tools; long fruits for transport; insect-pollinated,Bottle Gourd,1,1,1,1,1,1
Cucurbita pepo,Fibrous,shallow,"Trailing annual vine, up to 10m, tendrils","Broad, triangular to heart-shaped, alternate, 10-25cm long",Monoecious yellow flowers; pepo fruits (pumpkins/squash) with seeds,Heat-tolerant; moderate drought; frost-sensitive; sprawling,Large fruits store seeds; pollination by bees; genetic diversity for hybrids,Pumpkin ,1,1,1,1,1,1
Cucumis sativus,Taproot,shallow,"Annual climbing/trailing vine, up to 3m, tendrils","Triangular, alternate, 5-15cm long, rough texture",Monoecious yellow flowers; pepo fruits (cucumbers) with many seeds,Heat-tolerant; moderate drought; parthenocarpic varieties; 20-30¡C,Rapid growth; high water content; tendrils for support; gynoecious lines,Cucumber,1,1,1,1,1,0
Vigna unguiculata,Taproot,fibrous,"Annual climbing or bushy, up to 2m, twining","Trifoliate compound, ovate leaflets, 5-15cm long",Papilionaceous flowers; pods with 10-20 seeds; self-pollinating,Heat-tolerant; drought-tolerant; nitrogen-fixing; poor soils,Symbiotic nitrogen fixation; dual purpose (pods/leaves); climbing for light,Cowpea ,1,0,0,1,0,1
Daucus carota,Taproot,storage,"Biennial herbaceous, erect up to 1m, branched","Pinnatisect, finely divided, 5-20cm long, feathery",White umbel flowers; dry schizocarp fruits with seeds; insect-pollinated,Cold-tolerant; drought-moderate; biennial lifecycle; sandy soils,Storage taproot for overwintering; umbels attract beneficial insects; anthocyanins in varieties,Carrot,1,0,1,1,0,0
Beta vulgaris,Taproot,storage,"Biennial herbaceous, erect up to 1m, rosette","Simple, alternate, ovate to triangular, 10-30cm long, red-veined",Green flowers in spikes; schizocarp with 2-4 seeds; wind-pollinated,Cold-tolerant; moderate drought; saline-tolerant; biennial,Storage root with sugars/betalains; leaves edible; bolting resistant varieties,Beetroot,1,0,1,1,0,1
Brassica oleracea,Fibrous,shallow,"Biennial herbaceous, rosette to 1m, stem-forming","Large, glaucous, simple to lobed, 20-50cm wide (cabbage head)",Yellow flowers in racemes; siliques with seeds; self-incompatible,Cold-tolerant; moderate heat; frost-hardy; clubroot resistant varieties,"Tight leaf heads for storage; glucosinolates defense; diverse forms (cabbage, broccoli)",Cabbage,1,0,1,1,0,1
Phaseolus vulgaris,Fibrous,shallow,"Annual bush or climbing, up to 3m, twining","Trifoliate, ovate leaflets, 6-15cm long",White/purple flowers; pods with 4-6 seeds; self-pollinating,Heat-tolerant; moderate drought; frost-sensitive; nitrogen-fixing,Protein-rich seeds; climbing for yield; day-neutral; Mesoamerican/Andean types,Common Bean,1,0,0,1,0,1
Allium cepa,Bulbous,modified stem,"Biennial herbaceous, up to 1m, hollow stems","Linear, hollow, cylindrical, blue-green, 30-60cm long",Spherical umbels of flowers; bulbils or seeds; bulbing triggered by day length,Cold-tolerant; drought-tolerant; biennial; well-drained,Bulbs store fructans; sulfur compounds for flavor/defense; overwinters as bulbs,Onion,1,0,1,1,0,0
Solanum lycopersicum,Fibrous,shallow,"Annual herbaceous, erect or sprawling up to 2m, indeterminate","Compound odd-pinnate, 10-30cm long, 5-9 leaflets",Yellow flowers in racemes; berries with many seeds; self-pollinating,Heat-tolerant; moderate drought; frost-sensitive; parthenocarpic types,Lycopene antioxidants; rapid fruit set; grafting for disease resistance,Tomato,1,1,1,1,1,0
Camellia sinensis,Fibrous,shallow,"Evergreen shrub/tree, up to 5m (pruned), upright","Elliptic to obovate, serrate, leathery, 4-10cm long, glossy",White fragrant flowers axillary; capsules with 1-3 seeds; cross-pollinated,Acidic soils (pH 4.5-5.5); moderate drought; frost-tolerant varieties; high rainfall,Tannins/caffeine defense; continuous leaf production; clonal propagation,Tea,0,0,1,1,1,0
Theobroma cacao,Fibrous,shallow,"Small evergreen tree, up to 8m, low branching","Alternate, oblong, glossy, 10-30cm long, wavy edges",Small pink/white flowers on trunk (cauliflory); pods with 20-60 seeds; midge-pollinated,Shade-tolerant; humid tropics; frost-sensitive; 20-30¡C; high humidity,Theobromine alkaloids; pods ripen on tree; fermentation for flavor,Cocoa,0,1,1,1,1,0
Tectona grandis,Taproot,deep,"Large deciduous tree, up to 40m, buttressed trunk","Opposite, large ovate, 15-60cm long, rough hairy, deciduous",Small white flowers in large panicles; dry capsules with winged seeds; wind-dispersed,Drought-tolerant; heat-tolerant; seasonal; fire-resistant bark; 20-35¡C,Valuable timber; large leaves for shade; coppices; termite-resistant wood,Teak,0,0,0,0,1,0
