Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Artocarpus heterophyllus,"Taproot, deep","Evergreen tree, 10-20m, straight trunk, dense crown","Large simple alternate, oblong-elliptic, glossy, 5-25cm long",Monoecious; multiple female flowers fuse into syncarp (jackfruit); wind/insect pollinated,Drought-tolerant once established; heat-tolerant; moderate flood; 25-35¡C,Milky latex in tissues for defense; composite fruit structure; edible seeds/fruit,
Manihot esculenta,Taproot with storage tubers,"Woody shrub/herbaceous perennial, up to 4m, branched","Alternate, palmately lobed (3-7 lobes), spirally arranged, 5-20cm long",Monoecious; flowers in panicles (male/female separate); explosive capsules with seeds,Drought-tolerant; heat-tolerant (25-30¡C); sensitive to waterlogging/frost,Cyanogenic glycosides deter herbivores; tubers store carbohydrates; vegetative propagation,
Musa spp.,"Fibrous, shallow (mat-forming)","Giant herbaceous perennial, pseudostem up to 9m, clumping","Large oblong, spiral, up to 3m long x 50cm wide, waxy",Monoecious; large inflorescence with male/female flowers; parthenocarpic fruit (bananas),Moderate drought; cold-sensitive (<15¡C); prefers humid tropics; wind damage prone,Rapid vegetative propagation via suckers; aerenchyma for flood tolerance; sterile hybrids common,
Solanum tuberosum,Rhizomatous with tubers (modified stems),"Herbaceous perennial grown as annual, erect/stemmy up to 1m","Compound, odd-pinnate, 15-30cm long, 5-9 leaflets",Flowers white/purple in racemes; tubers for asexual reproduction; true seeds rare,Moderate drought; frost-sensitive; cool climates (15-20¡C); various day lengths,Tubers store energy/starch; glycoalkaloids (solanine) as defense; indeterminate growth,
Ipomoea batatas,"Fibrous, shallow","Trailing herbaceous vine, up to 5m long, twining","Heart-shaped to lobed, alternate, 5-15cm long, spirally arranged",Funnel-shaped flowers in clusters; capsules with seeds; often propagated vegetatively,Drought-tolerant; heat-tolerant; sandy well-drained soils; 20-30¡C,Storage roots (tubers) for survival; beta-carotene rich; vine covers ground to suppress weeds,
Elettaria cardamomum,Rhizomatous,"Clumping herbaceous perennial, up to 4m, leafy stems","Linear-lanceolate, bright green, sheathing, 30-60cm long",Hermaphroditic flowers on spikes from ground; capsules with seeds; cross-pollinated,Shade-tolerant; high humidity; frost-sensitive; 20-35¡C; 1500-4000mm rain,Aromatic pods for spice; underground rhizomes for propagation; prefers forest understory,
Cinnamomum verum,"Fibrous, shallow","Small evergreen tree, up to 8m, single stem","Opposite, oblong-lanceolate, glossy green, 5-15cm long, aromatic",Small yellowish flowers in panicles; berry-like drupes with single seed,Moderate drought; tropical; sensitive to frost; well-drained soils,Bark quills for cinnamon; essential oils (cinnamaldehyde) antimicrobial; coppicing ability,
Myristica fragrans,"Taproot, deep","Evergreen tree, up to 20m, pyramidal crown","Simple, alternate, oblong, dark green, leathery, 5-12cm long",Dioecious; bell-shaped flowers; orange aril-covered seeds (nutmeg/mace),Tropical rainforest; moderate drought; shade-tolerant; 20-30¡C,Aril (mace) attracts birds for dispersal; toxic compounds deter herbivores,
Tamarindus indica,"Taproot, extensive","Large evergreen tree, up to 25m, umbrella-shaped","Pinnate compound, 10-20cm long, 10-20 pairs of leaflets",Racemes of yellow/red flowers; pods with 1-12 seeds; insect-pollinated,Drought-tolerant; heat-tolerant; poor soils; flood-tolerant roots,Pods with acidic pulp for long storage; nitrogen-fixing associations; multipurpose (food/fodder),
Syzygium aromaticum,"Fibrous, shallow","Small to medium evergreen tree, up to 12m, conical","Opposite, elliptic, glossy, 5-17cm long, aromatic",Hermaphroditic flowers in panicles; hypanthium develops into clove (flower bud),Tropical high rainfall; frost-sensitive; well-drained volcanic soils,Eugenol in buds/oils for preservation; attracts pollinators; wind-resistant,
Zingiber officinale,Rhizomatous,"Herbaceous perennial, up to 1m, reed-like stems","Lanceolate, alternate, sheathing, 15-30cm long, green",Flowers in spikes on separate shoots; seeds rare; propagated by rhizomes,Tropical; shade-tolerant; frost-sensitive; 20-30¡C; high humidity,Rhizomes store gingerols (medicinal); underground growth for protection; sterile cultivar,
Curcuma longa,Rhizomatous,"Herbaceous perennial, up to 1m, leafy shoots","Oblong-lanceolate, cauline, 20-50cm long, green with purple veins",Cone-like spikes of flowers; aroids with seeds; mainly vegetative propagation,Tropical; shade partial; drought-moderate; 20-35¡C; acidic soils,Rhizomes with curcumin (anti-inflammatory); underground storage; ornamental flowers,
Allium sativum,Bulbous (modified stem),"Herbaceous perennial, up to 60cm, hollow leaves","Linear, flat, hollow, blue-green, 30-60cm long",Flowers in umbels (often replaced by bulbils); cloves for asexual reproduction,Cold-tolerant; drought-tolerant; well-drained; 15-25¡C; alkaline soils,Bulbs/cloves with allicin (antimicrobial); overwinters as bulbs; pest-repellent,
Anacardium occidentale,"Taproot, shallow","Small evergreen tree, up to 12m, low-branching","Obovate, leathery, spirally alternate, 5-12cm long, glossy",Dioecious; panicles of flowers; pseudodrupes with seed (cashew nut),Drought-tolerant; heat-tolerant; poor sandy soils; 25-30¡C,Caustic resin in shell for defense; nut storage; coppices well,
Carica papaya,"Shallow, fibrous","Herbaceous tree-like, up to 10m, single trunk","Large palmate, alternate, 30-75cm wide, 5-9 lobes",Monoecious/dioecious; flowers solitary/clusters; pepo fruit with many seeds,Heat-tolerant; moderate drought; frost-sensitive; 21-33¡C,Papain enzyme in latex; rapid growth (9 months to fruit); hollow stem for lightweight,
Ananas comosus,"Fibrous, shallow","Terrestrial bromeliad, rosette up to 1.5m, short stem","Tough, waxy, spirally arranged, sword-shaped, 30-100cm long",Hermaphroditic flowers in head; develops into multiple fruit (pineapple); self-incompatible,Drought-tolerant; acidic soils; heat-tolerant; CAM photosynthesis,Bromelain enzyme; spiny leaves deter herbivores; propagates via crown/suckers,
Moringa oleifera,"Taproot, deep","Slender deciduous tree, up to 12m, feathery crown","Tripinnate compound, 30-60cm long, small leaflets",Panicles of white flowers; 3-valved pods with winged seeds; self-fertile,Drought-tolerant; heat-tolerant; poor soils; 25-35¡C; nitrogen-fixer,All parts edible/medicinal; rapid growth; pod seeds for water purification,
Abelmoschus esculentus,"Taproot, fibrous","Annual herbaceous, erect up to 2m, stellate hairs","Alternate, palmately lobed, 10-20cm wide, serrate",Yellow flowers with red center; capsules (pods) with many seeds,Heat-tolerant; moderate drought; well-drained; 25-35¡C,Mucilaginous pods for texture; fiber in stems; attracts pollinators,
Solanum melongena,"Fibrous, shallow","Herbaceous perennial grown as annual, bushy up to 1m","Simple, alternate, ovate, 5-20cm long, undulate margins",Purple flowers in clusters; berries (eggplants) with many seeds,Heat-tolerant; moderate drought; frost-sensitive; 20-30¡C,Solasodine alkaloids defense; nightshade family; grafted for disease resistance,
Capsicum annuum,"Fibrous, shallow","Herbaceous perennial/annual, upright bush 30-100cm","Ovate to lanceolate, simple, alternate, 4-10cm long",White flowers; berries (peppers/chillies) with many seeds; self-pollinating,Heat-tolerant; drought-moderate; frost-sensitive; wide pH,Capsaicin deters mammals/birds; varied fruit shapes/colors; day-neutral,
Lagenaria siceraria,"Fibrous, extensive","Annual climbing vine, up to 10m, tendrils","Broad, heart-shaped, alternate, 5-lobed, 10-20cm wide",White flowers monoecious; pepo fruits (gourds) with many seeds,Heat-tolerant; drought-tolerant; climbing habit; 25-35¡C,Hard rind for storage/tools; long fruits for transport; insect-pollinated,
Cucurbita pepo,"Fibrous, shallow","Trailing annual vine, up to 10m, tendrils","Broad, triangular to heart-shaped, alternate, 10-25cm long",Monoecious yellow flowers; pepo fruits (pumpkins/squash) with seeds,Heat-tolerant; moderate drought; frost-sensitive; sprawling,Large fruits store seeds; pollination by bees; genetic diversity for hybrids,
Cucumis sativus,"Taproot, shallow","Annual climbing/trailing vine, up to 3m, tendrils","Triangular, alternate, 5-15cm long, rough texture",Monoecious yellow flowers; pepo fruits (cucumbers) with many seeds,Heat-tolerant; moderate drought; parthenocarpic varieties; 20-30¡C,Rapid growth; high water content; tendrils for support; gynoecious lines,
Vigna unguiculata,"Taproot, fibrous","Annual climbing or bushy, up to 2m, twining","Trifoliate compound, ovate leaflets, 5-15cm long",Papilionaceous flowers; pods with 10-20 seeds; self-pollinating,Heat-tolerant; drought-tolerant; nitrogen-fixing; poor soils,Symbiotic nitrogen fixation; dual purpose (pods/leaves); climbing for light,
Daucus carota,Taproot (storage),"Biennial herbaceous, erect up to 1m, branched","Pinnatisect, finely divided, 5-20cm long, feathery",White umbel flowers; dry schizocarp fruits with seeds; insect-pollinated,Cold-tolerant; drought-moderate; biennial lifecycle; sandy soils,Storage taproot for overwintering; umbels attract beneficial insects; anthocyanins in varieties,
Beta vulgaris,Taproot (storage),"Biennial herbaceous, erect up to 1m, rosette","Simple, alternate, ovate to triangular, 10-30cm long, red-veined",Green flowers in spikes; schizocarp with 2-4 seeds; wind-pollinated,Cold-tolerant; moderate drought; saline-tolerant; biennial,Storage root with sugars/betalains; leaves edible; bolting resistant varieties,
Brassica oleracea,"Fibrous, shallow","Biennial herbaceous, rosette to 1m, stem-forming","Large, glaucous, simple to lobed, 20-50cm wide (cabbage head)",Yellow flowers in racemes; siliques with seeds; self-incompatible,Cold-tolerant; moderate heat; frost-hardy; clubroot resistant varieties,"Tight leaf heads for storage; glucosinolates defense; diverse forms (cabbage, broccoli)",
Phaseolus vulgaris,"Fibrous, shallow","Annual bush or climbing, up to 3m, twining","Trifoliate, ovate leaflets, 6-15cm long",White/purple flowers; pods with 4-6 seeds; self-pollinating,Heat-tolerant; moderate drought; frost-sensitive; nitrogen-fixing,Protein-rich seeds; climbing for yield; day-neutral; Mesoamerican/Andean types,
Allium cepa,Bulbous (modified stem),"Biennial herbaceous, up to 1m, hollow stems","Linear, hollow, cylindrical, blue-green, 30-60cm long",Spherical umbels of flowers; bulbils or seeds; bulbing triggered by day length,Cold-tolerant; drought-tolerant; biennial; well-drained,Bulbs store fructans; sulfur compounds for flavor/defense; overwinters as bulbs,
Solanum lycopersicum,"Fibrous, shallow","Annual herbaceous, erect or sprawling up to 2m, indeterminate","Compound odd-pinnate, 10-30cm long, 5-9 leaflets",Yellow flowers in racemes; berries with many seeds; self-pollinating,Heat-tolerant; moderate drought; frost-sensitive; parthenocarpic types,Lycopene antioxidants; rapid fruit set; grafting for disease resistance,
Camellia sinensis,"Fibrous, shallow","Evergreen shrub/tree, up to 5m (pruned), upright","Elliptic to obovate, serrate, leathery, 4-10cm long, glossy",White fragrant flowers axillary; capsules with 1-3 seeds; cross-pollinated,Acidic soils (pH 4.5-5.5); moderate drought; frost-tolerant varieties; high rainfall,Tannins/caffeine defense; continuous leaf production; clonal propagation,
Theobroma cacao,"Fibrous, shallow","Small evergreen tree, up to 8m, low branching","Alternate, oblong, glossy, 10-30cm long, wavy edges",Small pink/white flowers on trunk (cauliflory); pods with 20-60 seeds; midge-pollinated,Shade-tolerant; humid tropics; frost-sensitive; 20-30¡C; high humidity,Theobromine alkaloids; pods ripen on tree; fermentation for flavor,
Tectona grandis,"Taproot, deep","Large deciduous tree, up to 40m, buttressed trunk","Opposite, large ovate, 15-60cm long, rough hairy, deciduous",Small white flowers in large panicles; dry capsules with winged seeds; wind-dispersed,Drought-tolerant; heat-tolerant; seasonal; fire-resistant bark; 20-35¡C,Valuable timber; large leaves for shade; coppices; termite-resistant wood,
